id,lon,lat,tiv,island,route,location,MMI_med,MMI_std,prob_negligible,prob_moderate,prob_substantial,prob_very_heavy,prob_destruction
1226,-155.26004391,19.43422479,100,Hawaii,11,RIGHT,5.19,0.33,0.16759875055,0.0209801015683,0.00609183190698,0.000535851411765,0.0
1227,-155.27466939,19.43562712,100,Hawaii,11,RIGHT,5.19,0.33,0.16759875055,0.0209801015683,0.00609183190698,0.000535851411765,0.0
1228,-155.28768827,19.42846498,100,Hawaii,11,RIGHT,5.66,0.31,0.369836152923,0.0677632642066,0.0171017108837,0.005494368,0.0
1229,-155.30145312,19.42189791,100,Hawaii,11,RIGHT,5.64,0.3,0.362052168977,0.065006901845,0.0164223151628,0.00520529317647,0.0
1230,-155.31515482,19.41538504,100,Hawaii,11,RIGHT,5.38,0.33,0.25393526835,0.0348042369004,0.00922355448062,0.00201321913725,0.0
1231,-155.32786103,19.40753219,100,Hawaii,11,RIGHT,5.48,0.34,0.296982987294,0.0450661077491,0.0116182310698,0.00310290070588,0.0
1232,-155.3392902,19.39769638,100,Hawaii,11,RIGHT,5.48,0.34,0.296982987294,0.0450661077491,0.0116182310698,0.00310290070588,0.0
1233,-155.34945911,19.38744973,100,Hawaii,11,RIGHT,5.89,0.42,0.453294689773,0.102715220572,0.0260511934574,0.00912654513725,0.0
1234,-155.35919636,19.3764162,100,Hawaii,11,RIGHT,5.11,0.42,0.129624627949,0.0177086115314,0.00537103289922,0.000184199960784,0.0
1235,-155.37027186,19.36627294,100,Hawaii,11,RIGHT,6.03,0.47,0.498277108948,0.126677820455,0.0327104588893,0.0115348414594,5.35588235294e-06
1236,-155.38049139,19.35562182,100,Hawaii,11,RIGHT,5.99,0.52,0.485873232179,0.11930923072,0.0305339602791,0.0108276067059,0.0
1237,-155.38982042,19.34415065,100,Hawaii,11,RIGHT,5.99,0.52,0.485873232179,0.11930923072,0.0305339602791,0.0108276067059,0.0
1238,-155.39819808,19.33200984,100,Hawaii,11,RIGHT,5.92,0.56,0.463315142178,0.107626704059,0.027361231876,0.00963170007843,0.0
1239,-155.40599549,19.31947733,100,Hawaii,11,RIGHT,6.35,0.55,0.58943707298,0.245648807046,0.0829138386637,0.0195266741127,0.00069056372549
1240,-155.41368914,19.30702138,100,Hawaii,11,RIGHT,6.44,0.56,0.612720592461,0.291705966414,0.104941303693,0.0225887451179,0.00107429019608
1241,-155.42085904,19.2942094,100,Hawaii,11,RIGHT,6.44,0.56,0.612720592461,0.291705966414,0.104941303693,0.0225887451179,0.00107429019608
1242,-155.42724971,19.28105725,100,Hawaii,11,RIGHT,6.6,0.55,0.651859879696,0.377906392217,0.14899212559,0.0290007743857,0.00194117647059
1243,-155.43520803,19.2687584,100,Hawaii,11,RIGHT,6.98,0.56,0.734952403777,0.551876725586,0.257830554913,0.0496821124448,0.00482083137255
1244,-155.44108266,19.25539615,100,Hawaii,11,RIGHT,7.27,0.57,0.792496523223,0.631448600768,0.336952676568,0.0835167359203,0.0102501425544
1245,-155.44696291,19.24202304,100,Hawaii,11,RIGHT,6.88,0.6,0.714270010087,0.515335259773,0.230602494195,0.0434493781683,0.00396310588235
1246,-155.45544148,19.23027545,100,Hawaii,11,RIGHT,6.89,0.64,0.716372880634,0.519393260102,0.233412878675,0.0440462703599,0.00404592254902
1247,-155.46339033,19.21811692,100,Hawaii,11,RIGHT,6.56,0.66,0.642332255482,0.356250413611,0.137555262628,0.0272777825565,0.00170327843137
1248,-155.46901348,19.20464329,100,Hawaii,11,RIGHT,6.46,0.63,0.617766712729,0.302304635435,0.110155023284,0.0233213085927,0.00117002352941
1249,-155.47491201,19.19177748,100,Hawaii,11,RIGHT,6.46,0.63,0.617766712729,0.302304635435,0.110155023284,0.0233213085927,0.00117002352941
1250,-155.48561019,19.18100115,100,Hawaii,11,RIGHT,6.09,0.66,0.516437015092,0.141424305297,0.0378989177426,0.0127095146389,4.77264705882e-05
1251,-155.4961642,19.17040834,100,Hawaii,11,RIGHT,5.82,0.68,0.429114512525,0.091525903321,0.0231166452093,0.00797070870588,0.0
